user,date_time
taylorswift13,13/10/2014 18:32
taylorswift13,13/12/2011 19:30
taylorswift13,14/06/2015 05:24
taylorswift13,14/11/2014 02:42
taylorswift13,15/05/2015 22:03
taylorswift13,15/05/2015 22:05
taylorswift13,15/06/2014 18:20
taylorswift13,15/08/2014 20:53
taylorswift13,17/07/2013 13:27
taylorswift13,17/08/2012 16:33
taylorswift13,21/10/2012 19:54
taylorswift13,21/10/2012 23:28
taylorswift13,21/10/2014 01:49
taylorswift13,22/07/2011 21:11
taylorswift13,22/09/2013 18:19
taylorswift13,22/10/2014 02:23
taylorswift13,22/10/2014 03:19
taylorswift13,22/10/2014 15:14
taylorswift13,22/10/2014 21:51
taylorswift13,22/10/2015 03:54
taylorswift13,22/10/2015 04:00
taylorswift13,27/10/2014 03:02
taylorswift13,27/10/2014 03:13
taylorswift13,28/06/2015 00:12
taylorswift13,28/06/2015 00:56
taylorswift13,28/07/2011 04:27
taylorswift13,28/10/2014 04:34
taylorswift13,28/10/2014 14:02
taylorswift13,29/08/2014 22:03
taylorswift13,29/08/2015 03:12
taylorswift13,30/10/2014 19:57
taylorswift13,31/08/2012 04:01
taylorswift13,31/10/2014 15:21
taylorswift13,31/10/2014 20:27
BarackObama,05/08/2015 16:35
BarackObama,05/08/2015 16:37
BarackObama,05/08/2015 16:38
BarackObama,05/11/2015 20:53
BarackObama,05/12/2014 20:48
BarackObama,07/04/2016 17:03
BarackObama,07/10/2015 20:28
BarackObama,10/11/2015 22:07
BarackObama,12/01/2015 17:43
BarackObama,12/08/2016 18:39
BarackObama,13/02/2015 17:01
BarackObama,13/02/2015 19:34
BarackObama,13/02/2015 21:53
BarackObama,13/02/2016 15:32
BarackObama,13/02/2016 21:27
BarackObama,13/06/2016 16:52
BarackObama,13/07/2015 14:42
BarackObama,14/03/2016 15:37
BarackObama,14/07/2015 21:55
BarackObama,14/10/2016 19:20
BarackObama,15/09/2016 15:15
BarackObama,15/12/2014 20:02
BarackObama,15/12/2014 20:08
BarackObama,16/01/2015 15:01
BarackObama,18/03/2015 19:07
BarackObama,18/03/2016 19:40
BarackObama,19/03/2016 17:13
BarackObama,19/03/2016 19:45
BarackObama,19/04/2016 15:43
BarackObama,19/04/2016 17:52
BarackObama,19/04/2016 19:26
BarackObama,19/07/2016 16:10
BarackObama,20/05/2015 16:02
BarackObama,21/11/2014 01:04
BarackObama,21/11/2014 21:32
BarackObama,22/01/2015 23:28
BarackObama,23/09/2014 16:29
BarackObama,24/03/2016 18:21
BarackObama,24/05/2016 15:58
BarackObama,25/09/2014 16:52
BarackObama,25/09/2014 18:24
BarackObama,25/09/2014 20:03
BarackObama,25/09/2014 21:23
BarackObama,25/09/2015 15:39
BarackObama,25/09/2015 17:33
BarackObama,25/09/2015 20:17
BarackObama,25/11/2014 23:42
BarackObama,25/11/2014 23:47
BarackObama,26/01/2016 23:27
BarackObama,26/02/2015 16:24
BarackObama,26/02/2015 19:31
BarackObama,26/02/2015 22:17
BarackObama,26/02/2016 01:02
BarackObama,28/01/2015 20:49
BarackObama,28/08/2014 20:09
BarackObama,30/01/2015 00:12
BarackObama,30/01/2016 23:07
BarackObama,31/05/2016 20:12
BarackObama,31/05/2016 22:23
BarackObama,31/10/2014 15:35
BarackObama,31/12/2015 18:15
BarackObama,31/12/2015 19:24
rihanna,05/10/2016 01:38
rihanna,27/01/2016 17:00
